Id,Label,timeset,indegree,outdegree,Degree,weighted indegree,weighted outdegree,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,Authority,Hub,clustering
CPV,,,137,111,248,137,111,248,2,0.668693,0.752273,0.000207,0.06191,0.051789,0.905342
CYP,,,168,195,363,168,195,363,2,0.897959,0.943182,0.001578,0.073085,0.081404,0.7696
GIN,,,157,149,306,157,149,306,2,0.756014,0.838636,0.000581,0.06934,0.066799,0.836529
MAC,,,142,137,279,142,137,279,2,0.726073,0.811364,0.000324,0.064202,0.062442,0.881067
NIC,,,162,161,323,162,161,323,2,0.78853,0.865909,0.000853,0.070328,0.071036,0.800852
UGA,,,175,173,348,175,173,348,2,0.82397,0.893182,0.00133,0.07445,0.075119,0.785214
WSM,,,99,92,191,99,92,191,2,0.632184,0.709091,0.000325,0.044318,0.040954,0.85851
AIA,,,74,88,162,74,88,162,2,0.625,0.7,0.000064,0.035031,0.040648,0.926733
BLZ,,,151,147,298,151,147,298,2,0.750853,0.834091,0.000521,0.066412,0.066246,0.85725
FJI,,,174,162,336,174,162,336,2,0.791367,0.868182,0.002242,0.071963,0.066281,0.754931
PLW,,,75,56,131,75,56,131,2,0.572917,0.627273,0.000108,0.033659,0.026249,0.892135
VUT,,,109,90,199,109,90,199,2,0.628571,0.704545,0.000327,0.0482,0.040798,0.839059
BGD,,,139,163,302,139,163,302,2,0.794224,0.870455,0.000389,0.063981,0.072569,0.873762
COM,,,111,107,218,111,107,218,2,0.660661,0.743182,0.00008,0.051526,0.051027,0.934472
CYM,,,89,99,188,89,99,188,2,0.645161,0.725,0.000071,0.042328,0.045878,0.930989
DJI,,,101,109,210,101,109,210,2,0.664653,0.747727,0.000041,0.048265,0.051363,0.95895
GAB,,,125,138,263,125,138,263,2,0.728477,0.813636,0.000186,0.058071,0.063418,0.921329
GNQ,,,106,87,193,106,87,193,2,0.623229,0.697727,0.000045,0.049928,0.041418,0.964291
LBR,,,126,126,252,126,126,252,2,0.700637,0.786364,0.000122,0.058688,0.058826,0.932854
LBY,,,138,118,256,138,118,256,2,0.68323,0.768182,0.000119,0.063416,0.055571,0.936817
MHL,,,87,97,184,87,97,184,2,0.641399,0.720455,0.000148,0.040475,0.045357,0.918436
SLE,,,132,136,268,132,136,268,2,0.723684,0.809091,0.00024,0.060624,0.062487,0.902385
UZB,,,99,121,220,99,121,220,2,0.689655,0.775,0.000053,0.04746,0.056672,0.953587
COD,,,113,116,229,113,116,229,2,0.679012,0.763636,0.000048,0.053652,0.054678,0.957722
COK,,,67,83,150,67,83,150,2,0.616246,0.688636,0.000045,0.031924,0.039581,0.942329
GIB,,,94,110,204,94,110,204,2,0.666667,0.75,0.000041,0.045351,0.051853,0.960084
MDV,,,104,101,205,104,101,205,2,0.648968,0.729545,0.000044,0.049437,0.047979,0.964214
SLB,,,94,83,177,94,83,177,2,0.616246,0.688636,0.000182,0.042706,0.037943,0.892579
BTN,,,75,90,165,75,90,165,2,0.628571,0.704545,0.000023,0.0363,0.043183,0.96902
CCK,,,41,77,118,41,77,118,2,0.606061,0.675,0.00001,0.020377,0.036931,0.959414
CUB,,,117,146,263,117,146,263,2,0.748299,0.831818,0.000152,0.054985,0.066813,0.917047
ERI,,,85,104,189,85,104,189,2,0.654762,0.736364,0.00002,0.041399,0.049371,0.964302
GNB,,,93,80,173,93,80,173,2,0.611111,0.681818,0.000019,0.044533,0.0385,0.96967
GRD,,,90,102,192,90,102,192,2,0.650888,0.731818,0.00006,0.042589,0.047742,0.954157
GUM,,,75,77,152,75,77,152,2,0.606061,0.675,0.000103,0.034723,0.03572,0.907426
HTI,,,116,131,247,116,131,247,2,0.711974,0.797727,0.000141,0.054621,0.060006,0.91683
KIR,,,79,76,155,79,76,155,2,0.604396,0.672727,0.000134,0.036429,0.034959,0.90282
MNP,,,46,52,98,46,52,98,2,0.56701,0.618182,0.000023,0.022189,0.025193,0.966857
NFK,,,46,46,92,46,46,92,2,0.558376,0.604545,0.000004,0.022486,0.022851,0.986388
PRK,,,120,150,270,120,150,270,2,0.758621,0.840909,0.000299,0.055079,0.067255,0.885707
SHN,,,56,89,145,56,89,145,2,0.626781,0.702273,0.000025,0.02746,0.042117,0.95099
SMR,,,74,102,176,74,102,176,2,0.650888,0.731818,0.000018,0.036011,0.04838,0.970751
SOM,,,89,100,189,89,100,189,2,0.647059,0.727273,0.000047,0.042938,0.046632,0.945623
SSD,,,54,32,86,54,32,86,2,0.539216,0.572727,0.000001,0.026781,0.015988,0.99737
TCA,,,83,110,193,83,110,193,2,0.666667,0.75,0.000096,0.039226,0.050011,0.914
TCD,,,101,94,195,101,94,195,2,0.635838,0.713636,0.000027,0.047914,0.044886,0.970938
TLS,,,73,85,158,73,85,158,2,0.619718,0.693182,0.000056,0.035073,0.039368,0.915094
TON,,,102,76,178,102,76,178,2,0.604396,0.672727,0.000235,0.045956,0.034008,0.859301
VGB,,,99,119,218,99,119,218,2,0.685358,0.770455,0.000126,0.046052,0.054977,0.928009
WLF,,,42,48,90,42,48,90,2,0.561224,0.609091,0.000009,0.02029,0.023384,0.97235
ASM,,,64,103,167,64,103,167,2,0.652819,0.734091,0.000092,0.030166,0.047325,0.905682
PCN,,,36,63,99,36,63,99,2,0.583554,0.643182,0.000008,0.017745,0.030318,0.965047
ATF,,,47,52,99,47,52,99,2,0.56701,0.618182,0.000007,0.023011,0.02531,0.963221
CXR,,,34,61,95,34,61,95,2,0.580475,0.638636,0.000003,0.016906,0.029769,0.981756
FLK,,,43,77,120,43,77,120,2,0.606061,0.675,0.000004,0.021454,0.037312,0.976932
FSM,,,65,62,127,65,62,127,2,0.582011,0.640909,0.000077,0.029853,0.028963,0.928184
IOT,,,53,70,123,53,70,123,2,0.594595,0.659091,0.000006,0.026005,0.034069,0.978903
NIU,,,38,69,107,38,69,107,2,0.592992,0.656818,0.000014,0.01852,0.033007,0.951049
NRU,,,55,88,143,55,88,143,2,0.625,0.7,0.000054,0.025734,0.041959,0.942121
SPM,,,37,38,75,37,38,75,2,0.547264,0.586364,0.000005,0.01843,0.018461,0.972424
TUV,,,42,55,97,42,55,97,2,0.571429,0.625,0.000014,0.020392,0.026454,0.95383
BES,,,27,13,40,27,13,40,2,0.515222,0.529545,0,0.013422,0.006513,0.997537
BLM,,,18,18,36,18,18,36,2,0.521327,0.540909,0,0.009147,0.00896,1
SXM,,,48,40,88,48,40,88,2,0.55,0.590909,0.000008,0.023359,0.018746,0.972097
TKL,,,51,95,146,51,95,146,2,0.637681,0.715909,0.000041,0.024415,0.044955,0.947935
